DISTRICT_ASSIGNED,LastInspYear,LastInspQuarter,LastInspMonthNum,StatusCurrent,TotalCases,Cases_NoInspection,Cases_Habitability,Cases_Retaliation,Cases_Retaliation_DuringMoratorium,Cases_WithNOV
1.0,2001.0,Q1,2.0,Completed,1,0,0,0,0,0
1.0,2001.0,Q2,4.0,Completed,1,0,0,0,0,0
1.0,2002.0,Q2,6.0,Completed,1,0,0,0,0,0
1.0,2002.0,Q3,9.0,Completed,1,0,0,0,0,0
1.0,2003.0,Q1,1.0,Completed,1,0,1,0,0,0
1.0,2003.0,Q2,4.0,Completed,1,0,0,0,0,0
1.0,2003.0,Q2,5.0,Completed,1,0,0,0,0,0
1.0,2003.0,Q2,6.0,Completed,2,0,1,0,0,0
1.0,2003.0,Q3,9.0,Completed,2,0,0,0,0,0
1.0,2003.0,Q4,10.0,Completed,2,0,0,0,0,0
1.0,2003.0,Q4,11.0,Completed,20,0,2,0,0,0
1.0,2003.0,Q4,12.0,Completed,49,0,2,0,0,0
1.0,2004.0,Q1,1.0,Completed,78,0,5,0,0,0
1.0,2004.0,Q1,2.0,Completed,89,0,11,0,0,0
1.0,2004.0,Q1,3.0,Completed,106,0,11,0,0,0
1.0,2004.0,Q2,4.0,Completed,96,0,6,0,0,0
1.0,2004.0,Q2,5.0,Completed,84,0,7,0,0,0
1.0,2004.0,Q2,6.0,Completed,148,0,9,1,0,0
1.0,2004.0,Q3,7.0,Completed,105,0,12,2,0,0
1.0,2004.0,Q3,8.0,Closed,1,0,0,0,0,0
1.0,2004.0,Q3,8.0,Completed,96,0,5,2,0,0
1.0,2004.0,Q3,9.0,Completed,116,0,8,1,0,0
1.0,2004.0,Q4,10.0,Completed,141,0,8,2,0,0
1.0,2004.0,Q4,11.0,Completed,75,0,13,2,0,0
1.0,2004.0,Q4,12.0,Completed,53,0,7,0,0,0
1.0,2005.0,Q1,1.0,Closed,1,0,0,0,0,0
1.0,2005.0,Q1,1.0,Completed,78,0,14,1,0,0
1.0,2005.0,Q1,2.0,Completed,72,0,3,0,0,0
1.0,2005.0,Q1,3.0,Completed,96,0,7,0,0,0
1.0,2005.0,Q2,4.0,Completed,78,0,6,0,0,0
1.0,2005.0,Q2,5.0,Completed,100,0,12,0,0,0
1.0,2005.0,Q2,6.0,Completed,105,0,4,0,0,0
1.0,2005.0,Q3,7.0,Completed,95,0,6,0,0,0
1.0,2005.0,Q3,8.0,Completed,105,0,6,0,0,0
1.0,2005.0,Q3,9.0,Completed,118,0,6,0,0,0
1.0,2005.0,Q4,10.0,Completed,103,0,4,0,0,0
1.0,2005.0,Q4,11.0,Completed,85,0,3,0,0,0
1.0,2005.0,Q4,12.0,Completed,79,0,11,0,0,0
1.0,2006.0,Q1,1.0,Completed,84,0,8,0,0,0
1.0,2006.0,Q1,2.0,Completed,102,0,8,0,0,0
1.0,2006.0,Q1,3.0,Completed,102,0,7,1,0,0
1.0,2006.0,Q2,4.0,Completed,90,0,9,0,0,0
1.0,2006.0,Q2,5.0,Closed,1,0,0,0,0,0
1.0,2006.0,Q2,5.0,Completed,101,0,8,2,0,0
1.0,2006.0,Q2,6.0,Completed,127,0,9,0,0,0
1.0,2006.0,Q3,7.0,Completed,130,0,7,0,0,0
1.0,2006.0,Q3,8.0,Completed,130,0,11,0,0,0
1.0,2006.0,Q3,9.0,Completed,108,0,9,0,0,0
1.0,2006.0,Q4,10.0,Completed,124,0,4,0,0,0
1.0,2006.0,Q4,11.0,Completed,89,0,11,1,0,0
1.0,2006.0,Q4,12.0,Completed,132,0,12,0,0,0
1.0,2007.0,Q1,1.0,Completed,79,0,7,1,0,0
1.0,2007.0,Q1,2.0,Completed,91,0,6,0,0,0
1.0,2007.0,Q1,3.0,Completed,159,0,11,0,0,0
1.0,2007.0,Q2,4.0,Completed,109,0,4,0,0,0
1.0,2007.0,Q2,5.0,Completed,120,0,8,3,0,0
1.0,2007.0,Q2,6.0,Completed,144,0,7,0,0,0
1.0,2007.0,Q3,7.0,Completed,142,0,5,0,0,0
1.0,2007.0,Q3,8.0,Completed,156,0,9,0,0,0
