DISTRICT_ASSIGNED,OpenYear,OpenQuarter,OpenMonthNum,StatusCurrent,TotalCases,Cases_NoInspection,Cases_Habitability,Cases_Retaliation,Cases_Retaliation_DuringMoratorium,Cases_WithNOV
1.0,2003,Q4,11,Closed,1,1,0,0,0,0
1.0,2003,Q4,11,Completed,43,6,6,0,0,0
1.0,2003,Q4,12,Completed,101,20,7,0,0,0
1.0,2004,Q1,1,Closed,2,2,0,0,0,0
1.0,2004,Q1,1,Completed,115,19,13,0,0,0
1.0,2004,Q1,2,Completed,146,16,21,0,0,0
1.0,2004,Q1,3,Closed,1,1,0,0,0,0
1.0,2004,Q1,3,Completed,113,16,12,0,0,0
1.0,2004,Q2,4,Completed,115,13,14,0,0,0
1.0,2004,Q2,5,Closed,2,2,0,0,0,0
1.0,2004,Q2,5,Completed,163,14,14,0,0,0
1.0,2004,Q2,6,Closed,2,2,1,0,0,0
1.0,2004,Q2,6,Completed,128,11,14,3,0,0
1.0,2004,Q3,7,Closed,5,5,0,0,0,0
1.0,2004,Q3,7,Completed,132,12,12,3,0,0
1.0,2004,Q3,8,Closed,2,1,0,0,0,0
1.0,2004,Q3,8,Completed,116,8,7,1,0,0
1.0,2004,Q3,9,Completed,140,15,16,1,0,0
1.0,2004,Q4,10,Completed,137,8,12,2,0,0
1.0,2004,Q4,11,Completed,78,10,19,0,0,0
1.0,2004,Q4,12,Closed,1,0,0,0,0,0
1.0,2004,Q4,12,Completed,69,7,13,0,0,0
1.0,2005,Q1,1,Completed,105,8,17,1,0,0
1.0,2005,Q1,2,Closed,1,1,0,0,0,0
1.0,2005,Q1,2,Completed,77,7,6,0,0,0
1.0,2005,Q1,3,Closed,1,1,0,0,0,0
1.0,2005,Q1,3,Completed,132,7,10,0,0,0
1.0,2005,Q2,4,Completed,79,6,13,0,0,0
1.0,2005,Q2,5,Completed,124,4,9,0,0,0
1.0,2005,Q2,6,Completed,130,14,11,0,0,0
1.0,2005,Q3,7,Closed,2,2,0,0,0,0
1.0,2005,Q3,7,Completed,118,9,9,0,0,0
1.0,2005,Q3,8,Closed,3,3,0,0,0,0
1.0,2005,Q3,8,Completed,139,11,10,0,0,0
1.0,2005,Q3,9,Closed,3,3,0,0,0,0
1.0,2005,Q3,9,Completed,125,10,8,0,0,0
1.0,2005,Q4,10,Closed,2,2,0,0,0,0
1.0,2005,Q4,10,Completed,108,7,9,0,0,0
1.0,2005,Q4,11,Completed,69,8,9,0,0,0
1.0,2005,Q4,12,Closed,1,1,0,0,0,0
1.0,2005,Q4,12,Completed,73,10,17,1,0,0
1.0,2006,Q1,1,Closed,2,2,0,0,0,0
1.0,2006,Q1,1,Completed,88,11,16,1,0,0
1.0,2006,Q1,2,Completed,122,13,18,0,0,0
1.0,2006,Q1,3,Completed,123,10,11,1,0,0
1.0,2006,Q1,3,NOV Issued,1,1,0,0,0,0
1.0,2006,Q2,4,Closed,1,0,0,0,0,0
1.0,2006,Q2,4,Completed,83,14,15,0,0,0
1.0,2006,Q2,5,Completed,116,18,10,0,0,0
1.0,2006,Q2,6,Completed,158,12,10,0,0,0
1.0,2006,Q3,7,Completed,138,8,10,0,0,0
1.0,2006,Q3,7,NOV Issued,1,0,0,0,0,0
1.0,2006,Q3,8,Completed,124,4,11,0,0,0
1.0,2006,Q3,9,Completed,111,5,10,0,0,0
1.0,2006,Q4,10,Completed,188,15,9,0,0,0
1.0,2006,Q4,11,Completed,85,9,16,1,0,0
1.0,2006,Q4,12,Completed,120,3,9,2,0,0
1.0,2007,Q1,1,Completed,109,14,11,0,0,0
1.0,2007,Q1,2,Completed,145,15,12,0,0,0
1.0,2007,Q1,3,Completed,155,14,7,1,0,0
1.0,2007,Q2,4,Completed,141,9,14,1,0,0
1.0,2007,Q2,5,Completed,158,23,13,1,0,0
1.0,2007,Q2,6,Completed,150,15,22,1,0,0
1.0,2007,Q3,7,Completed,196,21,13,0,0,0
1.0,2007,Q3,8,Completed,160,9,10,0,0,0
1.0,2007,Q3,9,Completed,139,6,12,1,0,0
1.0,2007,Q4,10,Completed,115,7,14,0,0,0
1.0,2007,Q4,11,Completed,135,9,16,2,0,0
1.0,2007,Q4,12,Completed,113,8,20,0,0,0
1.0,2007,Q4,12,NOV Issued,1,1,1,0,0,0
1.0,2008,Q1,1,Completed,130,4,18,0,0,0
1.0,2008,Q1,2,Completed,102,7,8,0,0,0
1.0,2008,Q1,3,Completed,123,3,10,0,0,0
1.0,2008,Q2,4,Closed,1,1,0,0,0,0
1.0,2008,Q2,4,Completed,150,4,17,0,0,0
1.0,2008,Q2,5,Completed,177,2,8,0,0,0
1.0,2008,Q2,5,Initiated,1,0,1,0,0,0
1.0,2008,Q2,6,Closed,1,1,0,0,0,0
1.0,2008,Q2,6,Completed,228,11,17,0,0,0
1.0,2008,Q3,7,Completed,240,6,14,0,0,0
1.0,2008,Q3,7,Initiated,1,1,1,0,0,0
1.0,2008,Q3,8,Closed,1,0,0,0,0,0
1.0,2008,Q3,8,Completed,238,11,11,0,0,0
1.0,2008,Q3,9,Completed,169,12,22,0,0,0
1.0,2008,Q4,10,Completed,154,10,20,0,0,0
1.0,2008,Q4,10,Referred to Law,1,1,1,0,0,0
1.0,2008,Q4,11,Completed,88,8,12,0,0,0
1.0,2008,Q4,11,NOV Issued,1,0,1,0,0,0
1.0,2008,Q4,12,Completed,74,4,9,0,0,0
1.0,2009,Q1,1,Completed,121,16,9,1,0,0
1.0,2009,Q1,2,Completed,136,5,13,1,0,0
1.0,2009,Q1,3,Completed,137,8,11,2,0,0
1.0,2009,Q2,4,Completed,147,9,13,1,0,0
1.0,2009,Q2,4,NOV Issued,1,0,0,0,0,0
1.0,2009,Q2,5,Completed,169,6,10,0,0,0
1.0,2009,Q2,6,Completed,210,9,9,0,0,0
1.0,2009,Q2,6,NOV Issued,1,1,0,0,0,0
1.0,2009,Q3,7,Closed,1,1,0,0,0,0
1.0,2009,Q3,7,Completed,153,1,14,2,0,0
1.0,2009,Q3,8,Closed,1,0,0,0,0,0
1.0,2009,Q3,8,Completed,177,14,9,0,0,0
1.0,2009,Q3,9,Completed,133,2,6,0,0,0
1.0,2009,Q4,10,Completed,159,11,15,0,0,0
1.0,2009,Q4,11,Completed,102,2,8,0,0,0
1.0,2009,Q4,12,Citation Issued,1,1,0,0,0,0
1.0,2009,Q4,12,Completed,101,5,6,0,0,0
1.0,2009,Q4,12,Initiated,1,1,0,0,0,0
1.0,2010,Q1,1,Completed,70,2,4,1,0,0
1.0,2010,Q1,2,Completed,117,2,4,1,0,0
1.0,2010,Q1,3,Completed,117,4,16,0,0,0
1.0,2010,Q2,4,Completed,160,4,8,0,0,0
1.0,2010,Q2,5,Completed,135,3,8,0,0,0
1.0,2010,Q2,6,Completed,213,3,11,5,0,0
1.0,2010,Q2,6,NOV Issued,1,1,0,0,0,0
1.0,2010,Q3,7,Completed,134,2,10,1,0,0
1.0,2010,Q3,8,Completed,167,4,11,0,0,0
1.0,2010,Q3,9,Completed,130,1,16,0,0,0
1.0,2010,Q4,10,Completed,99,2,17,0,0,0
1.0,2010,Q4,10,Warning,1,1,1,0,0,0
1.0,2010,Q4,11,Completed,64,5,9,0,0,0
1.0,2010,Q4,12,Completed,72,1,4,0,0,0
1.0,2011,Q1,1,Completed,73,4,9,0,0,0
